timestep,totaleffect,directeffect,indirecteffect,spuriouseffect
0,-0.317253303,-0.319504218,-0.00130925,-0.000941664
1,-0.379384419,-0.382386642,-0.003970945,0.000968722
2,-0.434299789,-0.429250246,0.006621122,-0.001571579
3,-0.433979049,NA,NA,NA
4,-0.467576985,NA,NA,NA
5,-0.532205101,NA,NA,NA
6,-0.529001945,-0.535844071,-0.010376759,0.003534632
7,-0.504262936,-0.48021271,0.017995245,0.006054981
8,-0.564146084,-0.548333904,0.013681084,0.002131096
9,-0.575562256,-0.584872372,-0.004250123,-0.005059992
